Year,Team,TS%,eFG%,FT/FGA,ORtg
1980,Boston Celtics*,0.55,0.475,0.234,109.4
1980,Los Angeles Lakers*,0.569,0.475,0.181,109.5
1980,Seattle SuperSonics*,0.52,0.463,0.221,105.8
1980,Philadelphia 76ers*,0.544,0.46,0.217,105.0
1980,Milwaukee Bucks*,0.532,0.467,0.229,106.8
1980,Phoenix Suns*,0.548,0.483,0.213,105.6
1980,Kansas City Kings*,0.522,0.479,0.273,104.0
1980,Atlanta Hawks*,0.523,0.461,0.291,105.2
1980,Cleveland Cavaliers,0.519,0.505,0.216,106.7
1980,Houston Rockets*,0.533,0.499,0.23,108.1
1980,San Antonio Spurs*,0.553,0.506,0.216,108.6
1980,Indiana Pacers,0.523,0.493,0.23,105.5
1980,Portland Trail Blazers*,0.519,0.482,0.245,103.4
1980,New Jersey Nets,0.518,0.472,0.263,101.5
1980,New York Knicks,0.539,0.498,0.263,106.5
1980,Washington Bullets*,0.504,0.469,0.218,103.2
1980,Chicago Bulls,0.545,0.5,0.251,104.3
1980,San Diego Clippers,0.522,0.503,0.215,105.7
1980,Denver Nuggets,0.517,0.497,0.224,103.4
1980,Golden State Warriors,0.52,0.498,0.273,102.0
1980,Utah Jazz,0.547,0.5,0.237,104.2
1980,Detroit Pistons,0.523,0.499,0.239,101.2
1981,Philadelphia 76ers*,0.562,0.454,0.252,107.0
1981,Milwaukee Bucks*,0.546,0.461,0.28,108.7
1981,Boston Celtics*,0.553,0.464,0.24,108.4
1981,Phoenix Suns*,0.537,0.471,0.244,104.6
1981,Los Angeles Lakers*,0.548,0.468,0.208,107.6
1981,San Antonio Spurs*,0.545,0.475,0.233,108.5
1981,Chicago Bulls*,0.556,0.493,0.232,107.8
1981,New York Knicks*,0.533,0.504,0.22,106.0
1981,Indiana Pacers*,0.528,0.492,0.248,106.4
1981,Portland Trail Blazers*,0.534,0.49,0.246,106.5
1981,Houston Rockets*,0.534,0.496,0.214,107.0
1981,Washington Bullets,0.514,0.472,0.212,102.7
1981,Kansas City Kings*,0.54,0.483,0.265,104.7
1981,Denver Nuggets,0.537,0.509,0.232,109.4
1981,Golden State Warriors,0.537,0.507,0.25,108.5
1981,San Diego Clippers,0.528,0.507,0.262,106.0
1981,Seattle SuperSonics,0.521,0.468,0.232,103.2
1981,Atlanta Hawks,0.537,0.498,0.295,104.3
1981,Cleveland Cavaliers,0.513,0.507,0.251,104.3
1981,New Jersey Nets,0.525,0.506,0.281,101.0
1981,Utah Jazz,0.536,0.492,0.268,103.4
1981,Detroit Pistons,0.51,0.512,0.242,98.1
1981,Dallas Mavericks,0.519,0.516,0.245,102.4
1982,Boston Celtics*,0.545,0.472,0.22,109.8
1982,Philadelphia 76ers*,0.566,0.48,0.261,109.6
1982,Milwaukee Bucks*,0.553,0.471,0.253,107.7
1982,Los Angeles Lakers*,0.551,0.493,0.187,110.2
1982,Seattle SuperSonics*,0.535,0.464,0.214,106.4
1982,Phoenix Suns*,0.538,0.47,0.233,105.8
1982,San Antonio Spurs*,0.537,0.487,0.256,109.9
1982,Golden State Warriors,0.541,0.493,0.256,108.8
1982,Washington Bullets*,0.524,0.468,0.228,103.3
1982,New Jersey Nets*,0.529,0.486,0.281,103.0
1982,Portland Trail Blazers,0.547,0.502,0.223,108.8
1982,Atlanta Hawks*,0.529,0.473,0.282,105.1
1982,Denver Nuggets*,0.578,0.528,0.213,114.3
1982,Houston Rockets*,0.52,0.5,0.209,108.3
1982,Detroit Pistons,0.534,0.512,0.224,105.8
1982,Indiana Pacers,0.516,0.494,0.221,102.7
1982,Chicago Bulls,0.557,0.499,0.207,106.6
1982,New York Knicks,0.535,0.508,0.255,106.0
1982,Kansas City Kings,0.533,0.504,0.287,104.2
1982,Dallas Mavericks,0.519,0.51,0.266,105.9
1982,Utah Jazz,0.538,0.513,0.244,106.2
1982,San Diego Clippers,0.547,0.529,0.28,106.6
1982,Cleveland Cavaliers,0.51,0.515,0.271,103.3
1983,Philadelphia 76ers*,0.549,0.464,0.217,108.3
1983,Los Angeles Lakers*,0.561,0.494,0.191,110.5
1983,Boston Celtics*,0.536,0.473,0.236,106.9
1983,Phoenix Suns*,0.54,0.458,0.235,105.1
1983,Milwaukee Bucks*,0.537,0.459,0.228,105.8
1983,San Antonio Spurs*,0.556,0.489,0.228,110.1
1983,Seattle SuperSonics*,0.539,0.464,0.21,105.9
1983,New Jersey Nets*,0.532,0.481,0.251,101.6
1983,New York Knicks*,0.526,0.478,0.257,102.4
1983,Portland Trail Blazers*,0.535,0.49,0.218,106.0
1983,Kansas City Kings,0.542,0.49,0.291,106.2
1983,Denver Nuggets*,0.55,0.509,0.22,109.7
1983,Washington Bullets,0.511,0.471,0.214,99.1
1983,Detroit Pistons,0.529,0.496,0.214,105.4
1983,Dallas Mavericks,0.535,0.506,0.228,109.4
1983,Atlanta Hawks*,0.516,0.473,0.223,102.2
1983,Golden State Warriors,0.526,0.513,0.241,103.9
1983,Utah Jazz,0.531,0.481,0.208,101.2
1983,Chicago Bulls,0.532,0.498,0.237,103.4
1983,San Diego Clippers,0.518,0.531,0.284,104.7
1983,Indiana Pacers,0.52,0.52,0.249,103.8
1983,Cleveland Cavaliers,0.506,0.492,0.258,99.2
1983,Houston Rockets,0.491,0.505,0.246,97.0
1984,Boston Celtics*,0.554,0.475,0.225,110.9
1984,Milwaukee Bucks*,0.541,0.459,0.266,107.8
1984,New York Knicks*,0.552,0.491,0.281,107.0
1984,Los Angeles Lakers*,0.574,0.487,0.232,110.9
1984,Portland Trail Blazers*,0.556,0.518,0.259,111.2
1984,Detroit Pistons*,0.532,0.5,0.263,111.5
1984,Philadelphia 76ers*,0.551,0.484,0.246,106.8
1984,New Jersey Nets*,0.54,0.494,0.292,106.1
1984,Utah Jazz*,0.559,0.479,0.229,109.0
1984,Phoenix Suns*,0.556,0.501,0.277,108.9
1984,Dallas Mavericks*,0.547,0.503,0.232,110.0
1984,Seattle SuperSonics*,0.543,0.492,0.226,107.9
1984,San Antonio Spurs,0.556,0.508,0.233,111.2
1984,Denver Nuggets*,0.553,0.522,0.277,111.3
1984,Atlanta Hawks*,0.529,0.482,0.268,105.5
1984,Kansas City Kings*,0.542,0.505,0.266,106.5
1984,Houston Rockets,0.535,0.486,0.285,105.3
1984,Washington Bullets*,0.535,0.492,0.239,104.2
1984,San Diego Clippers,0.541,0.513,0.236,109.2
1984,Golden State Warriors,0.52,0.519,0.25,105.5
1984,Cleveland Cavaliers,0.512,0.49,0.28,104.1
1984,Indiana Pacers,0.531,0.497,0.255,101.8
1984,Chicago Bulls,0.526,0.497,0.266,102.4
1985,Los Angeles Lakers*,0.589,0.485,0.22,114.1
1985,Milwaukee Bucks*,0.545,0.467,0.29,110.5
1985,Boston Celtics*,0.564,0.481,0.198,112.8
1985,Philadelphia 76ers*,0.561,0.494,0.259,111.3
1985,Portland Trail Blazers*,0.554,0.497,0.232,110.4
1985,Detroit Pistons*,0.529,0.501,0.245,109.6
1985,Denver Nuggets*,0.54,0.516,0.275,110.7
1985,Dallas Mavericks*,0.549,0.51,0.221,111.5
1985,Houston Rockets*,0.54,0.487,0.259,107.9
1985,San Antonio Spurs*,0.565,0.501,0.269,109.9
1985,New Jersey Nets*,0.532,0.505,0.263,107.9
1985,Utah Jazz*,0.534,0.469,0.238,103.3
1985,Washington Bullets*,0.524,0.491,0.226,104.3
1985,Chicago Bulls*,0.556,0.495,0.257,108.7
1985,Atlanta Hawks,0.536,0.485,0.249,105.9
1985,Phoenix Suns*,0.544,0.498,0.24,104.7
1985,Kansas City Kings,0.559,0.514,0.262,109.5
1985,Cleveland Cavaliers*,0.526,0.483,0.265,106.0
1985,Los Angeles Clippers,0.543,0.495,0.21,105.8
1985,New York Knicks,0.53,0.499,0.339,104.9
1985,Seattle SuperSonics,0.529,0.498,0.238,102.8
1985,Indiana Pacers,0.527,0.499,0.282,102.5
1985,Golden State Warriors,0.522,0.54,0.268,106.0
1986,Boston Celtics*,0.564,0.466,0.216,111.8
1986,Milwaukee Bucks*,0.552,0.473,0.281,111.4
1986,Los Angeles Lakers*,0.575,0.484,0.239,113.3
1986,Houston Rockets*,0.536,0.497,0.243,110.1
1986,Atlanta Hawks*,0.542,0.481,0.269,107.9
1986,Philadelphia 76ers*,0.546,0.499,0.211,108.6
1986,Denver Nuggets*,0.527,0.495,0.266,107.1
1986,Dallas Mavericks*,0.562,0.508,0.201,112.1
1986,Detroit Pistons*,0.534,0.496,0.266,109.0
1986,Portland Trail Blazers*,0.554,0.507,0.275,109.2
1986,Seattle SuperSonics,0.53,0.492,0.282,105.9
1986,Utah Jazz*,0.536,0.477,0.258,104.2
1986,San Antonio Spurs*,0.555,0.499,0.26,106.5
1986,Washington Bullets*,0.518,0.472,0.224,103.0
1986,New Jersey Nets*,0.536,0.499,0.282,105.0
1986,Cleveland Cavaliers,0.535,0.48,0.292,105.5
1986,Phoenix Suns,0.552,0.495,0.279,104.3
1986,Sacramento Kings*,0.541,0.499,0.273,106.2
1986,Indiana Pacers,0.525,0.479,0.277,102.6
1986,Golden State Warriors,0.536,0.524,0.241,108.3
1986,Chicago Bulls*,0.538,0.509,0.28,108.6
1986,New York Knicks,0.505,0.484,0.315,99.5
1986,Los Angeles Clippers,0.534,0.512,0.225,105.4
1987,Los Angeles Lakers*,0.577,0.476,0.23,115.6
1987,Atlanta Hawks*,0.543,0.46,0.284,112.6
1987,Boston Celtics*,0.577,0.471,0.217,113.5
1987,Dallas Mavericks*,0.558,0.486,0.233,114.9
1987,Milwaukee Bucks*,0.539,0.479,0.307,109.5
1987,Detroit Pistons*,0.544,0.471,0.267,109.2
1987,Portland Trail Blazers*,0.566,0.493,0.265,111.5
1987,Houston Rockets*,0.528,0.47,0.261,106.5
1987,Chicago Bulls*,0.528,0.491,0.251,108.6
1987,Utah Jazz*,0.516,0.466,0.269,104.1
1987,Seattle SuperSonics*,0.543,0.486,0.296,110.7
1987,Philadelphia 76ers*,0.549,0.499,0.215,108.3
1987,Indiana Pacers*,0.525,0.487,0.281,106.0
1987,Denver Nuggets*,0.527,0.503,0.307,109.3
1987,Washington Bullets*,0.511,0.48,0.222,105.7
1987,Golden State Warriors*,0.539,0.503,0.272,108.9
1987,Phoenix Suns,0.55,0.502,0.265,108.0
1987,Sacramento Kings,0.535,0.498,0.257,108.9
1987,Cleveland Cavaliers,0.519,0.484,0.224,102.6
1987,New Jersey Nets,0.54,0.488,0.33,105.6
1987,San Antonio Spurs,0.525,0.514,0.244,105.9
1987,New York Knicks,0.528,0.497,0.27,104.8
1987,Los Angeles Clippers,0.508,0.526,0.258,101.2
1988,Boston Celtics*,0.588,0.489,0.237,115.4
1988,Los Angeles Lakers*,0.566,0.484,0.206,113.1
1988,Detroit Pistons*,0.548,0.475,0.245,110.5
1988,Dallas Mavericks*,0.54,0.481,0.203,112.2
1988,Portland Trail Blazers*,0.55,0.485,0.275,111.8
1988,Denver Nuggets*,0.534,0.498,0.26,110.1
1988,Utah Jazz*,0.546,0.459,0.262,106.8
1988,Atlanta Hawks*,0.541,0.481,0.28,111.3
1988,Chicago Bulls*,0.539,0.478,0.24,109.0
1988,Seattle SuperSonics*,0.536,0.495,0.33,110.2
1988,Houston Rockets*,0.529,0.473,0.243,107.1
1988,Cleveland Cavaliers*,0.547,0.485,0.227,106.8
1988,Milwaukee Bucks*,0.536,0.483,0.259,108.2
1988,New York Knicks*,0.525,0.486,0.324,105.9
1988,Washington Bullets*,0.524,0.487,0.231,106.5
1988,Indiana Pacers,0.535,0.481,0.263,106.6
1988,Philadelphia 76ers,0.543,0.506,0.232,108.8
1988,Phoenix Suns,0.538,0.507,0.265,107.0
1988,San Antonio Spurs*,0.54,0.512,0.242,108.2
1988,Sacramento Kings,0.53,0.506,0.237,106.5
1988,New Jersey Nets,0.523,0.506,0.274,101.4
1988,Golden State Warriors,0.524,0.511,0.283,104.7
1988,Los Angeles Clippers,0.494,0.486,0.244,97.4
1989,Cleveland Cavaliers*,0.559,0.473,0.185,110.6
1989,Phoenix Suns*,0.56,0.476,0.225,113.1
1989,Los Angeles Lakers*,0.57,0.482,0.205,113.8
1989,Detroit Pistons*,0.551,0.458,0.26,110.8
1989,Utah Jazz*,0.55,0.447,0.246,106.6
1989,Atlanta Hawks*,0.54,0.482,0.256,112.2
1989,Milwaukee Bucks*,0.544,0.493,0.266,110.1
1989,New York Knicks*,0.553,0.504,0.249,111.1
1989,Seattle SuperSonics*,0.539,0.498,0.271,111.5
1989,Denver Nuggets*,0.528,0.505,0.264,108.6
1989,Philadelphia 76ers*,0.552,0.513,0.215,113.0
1989,Chicago Bulls*,0.553,0.487,0.239,109.1
1989,Portland Trail Blazers*,0.53,0.501,0.264,109.4
1989,Boston Celtics*,0.548,0.493,0.248,110.8
1989,Houston Rockets*,0.535,0.481,0.248,105.7
1989,Golden State Warriors*,0.529,0.479,0.24,107.4
1989,Dallas Mavericks,0.536,0.48,0.215,107.4
1989,Washington Bullets,0.516,0.493,0.267,106.4
1989,Indiana Pacers,0.552,0.478,0.275,106.8
1989,Sacramento Kings,0.523,0.496,0.235,104.5
1989,New Jersey Nets,0.517,0.508,0.244,103.0
1989,San Antonio Spurs,0.512,0.5,0.294,100.9
1989,Charlotte Hornets,0.514,0.508,0.287,103.7
1989,Los Angeles Clippers,0.518,0.497,0.237,100.8
1989,Miami Heat,0.498,0.499,0.292,97.8
1990,Los Angeles Lakers*,0.562,0.479,0.219,114.0
1990,Phoenix Suns*,0.565,0.478,0.209,113.1
1990,Detroit Pistons*,0.537,0.461,0.262,109.9
1990,Portland Trail Blazers*,0.535,0.479,0.265,110.5
1990,Philadelphia 76ers*,0.556,0.495,0.223,113.5
1990,Utah Jazz*,0.57,0.468,0.268,110.3
1990,Boston Celtics*,0.557,0.477,0.223,112.0
1990,San Antonio Spurs*,0.537,0.477,0.235,107.7
1990,Chicago Bulls*,0.559,0.508,0.262,112.3
1990,Houston Rockets*,0.531,0.475,0.228,104.8
1990,New York Knicks*,0.547,0.482,0.215,109.4
1990,Denver Nuggets*,0.523,0.501,0.264,108.0
1990,Seattle SuperSonics,0.535,0.499,0.297,110.9
1990,Atlanta Hawks,0.547,0.509,0.254,113.0
1990,Indiana Pacers*,0.572,0.494,0.25,111.5
1990,Dallas Mavericks*,0.536,0.481,0.232,107.2
1990,Cleveland Cavaliers*,0.529,0.49,0.202,106.9
1990,Milwaukee Bucks*,0.533,0.492,0.29,107.3
1990,Washington Bullets,0.519,0.484,0.249,107.5
1990,Golden State Warriors,0.563,0.494,0.253,109.6
1990,Los Angeles Clippers,0.536,0.489,0.241,104.0
1990,Minnesota Timberwolves,0.499,0.492,0.291,103.6
1990,Sacramento Kings,0.527,0.484,0.255,104.8
1990,New Jersey Nets,0.486,0.495,0.272,100.7
1990,Charlotte Hornets,0.511,0.506,0.269,102.0
1990,Orlando Magic,0.521,0.511,0.245,105.8
1990,Miami Heat,0.501,0.499,0.292,99.3
1991,Chicago Bulls*,0.56,0.488,0.226,114.6
1991,Portland Trail Blazers*,0.554,0.473,0.25,112.8
1991,Los Angeles Lakers*,0.551,0.474,0.176,112.1
1991,Phoenix Suns*,0.558,0.474,0.227,112.6
1991,Boston Celtics*,0.565,0.465,0.217,112.6
1991,San Antonio Spurs*,0.544,0.463,0.228,107.8
1991,Detroit Pistons*,0.523,0.464,0.248,108.2
1991,Utah Jazz*,0.559,0.473,0.23,108.6
1991,Houston Rockets*,0.53,0.469,0.22,107.4
1991,Milwaukee Bucks*,0.55,0.5,0.259,109.7
1991,Golden State Warriors*,0.559,0.497,0.289,111.9
1991,Seattle SuperSonics*,0.542,0.503,0.277,109.7
1991,Atlanta Hawks*,0.54,0.509,0.22,110.9
1991,New York Knicks*,0.544,0.489,0.205,107.1
1991,Philadelphia 76ers*,0.542,0.489,0.187,107.9
1991,Indiana Pacers*,0.566,0.503,0.254,111.7
1991,Cleveland Cavaliers,0.534,0.497,0.206,106.1
1991,Los Angeles Clippers,0.511,0.481,0.266,103.0
1991,Orlando Magic,0.521,0.493,0.26,105.9
1991,Minnesota Timberwolves,0.499,0.502,0.248,106.7
1991,New Jersey Nets,0.5,0.478,0.267,102.9
1991,Dallas Mavericks,0.528,0.495,0.245,105.5
1991,Washington Bullets,0.509,0.478,0.242,103.0
1991,Charlotte Hornets,0.526,0.504,0.272,105.0
1991,Miami Heat,0.512,0.491,0.286,102.0
1991,Sacramento Kings,0.512,0.481,0.306,102.0
1991,Denver Nuggets,0.498,0.524,0.299,105.2
1992,Chicago Bulls*,0.556,0.476,0.219,115.5
1992,Portland Trail Blazers*,0.541,0.471,0.251,111.4
1992,Utah Jazz*,0.557,0.475,0.214,112.2
1992,Phoenix Suns*,0.556,0.471,0.223,112.1
1992,Cleveland Cavaliers*,0.557,0.483,0.174,113.9
1992,New York Knicks*,0.531,0.471,0.248,108.3
1992,Boston Celtics*,0.544,0.469,0.22,110.8
1992,Golden State Warriors*,0.568,0.499,0.256,113.6
1992,San Antonio Spurs*,0.528,0.469,0.224,107.5
1992,Detroit Pistons*,0.52,0.468,0.204,107.5
1992,Seattle SuperSonics*,0.538,0.491,0.269,110.7
1992,Indiana Pacers*,0.566,0.483,0.27,111.7
1992,Los Angeles Clippers*,0.524,0.475,0.244,105.8
1992,Los Angeles Lakers*,0.516,0.493,0.187,107.7
1992,Philadelphia 76ers,0.539,0.496,0.192,108.3
1992,Atlanta Hawks,0.519,0.497,0.209,107.3
1992,New Jersey Nets*,0.51,0.488,0.247,107.0
1992,Houston Rockets,0.537,0.477,0.209,106.2
1992,Milwaukee Bucks,0.529,0.514,0.237,108.8
1992,Charlotte Hornets,0.527,0.51,0.222,107.1
1992,Miami Heat*,0.532,0.508,0.235,106.7
1992,Washington Bullets,0.514,0.493,0.235,103.9
1992,Sacramento Kings,0.525,0.493,0.233,103.9
1992,Orlando Magic,0.514,0.502,0.26,103.5
1992,Minnesota Timberwolves,0.505,0.497,0.244,105.0
1992,Denver Nuggets,0.493,0.494,0.279,100.7
1992,Dallas Mavericks,0.501,0.483,0.259,103.0
1993,Seattle SuperSonics*,0.546,0.489,0.26,112.3
1993,Chicago Bulls*,0.535,0.493,0.239,112.9
1993,Cleveland Cavaliers*,0.565,0.482,0.185,112.7
1993,Phoenix Suns*,0.566,0.496,0.206,113.3
1993,New York Knicks*,0.526,0.444,0.294,106.1
1993,Houston Rockets*,0.557,0.474,0.201,109.6
1993,Portland Trail Blazers*,0.526,0.488,0.237,108.3
1993,San Antonio Spurs*,0.555,0.477,0.221,109.6
1993,Utah Jazz*,0.55,0.487,0.25,109.6
1993,Indiana Pacers*,0.547,0.485,0.281,111.9
1993,Orlando Magic,0.554,0.473,0.232,108.5
1993,New Jersey Nets*,0.522,0.48,0.24,106.5
1993,Boston Celtics*,0.536,0.479,0.251,108.7
1993,Los Angeles Clippers*,0.53,0.489,0.263,107.4
1993,Charlotte Hornets*,0.547,0.487,0.201,109.5
1993,Atlanta Hawks*,0.534,0.516,0.224,109.3
1993,Golden State Warriors,0.543,0.501,0.261,109.2
1993,Miami Heat,0.535,0.495,0.274,107.7
1993,Los Angeles Lakers*,0.534,0.5,0.215,107.6
1993,Detroit Pistons,0.511,0.5,0.212,107.4
1993,Denver Nuggets,0.518,0.476,0.263,104.6
1993,Sacramento Kings,0.53,0.502,0.292,106.5
1993,Milwaukee Bucks,0.535,0.502,0.266,106.2
1993,Philadelphia 76ers,0.53,0.504,0.188,104.6
1993,Washington Bullets,0.523,0.51,0.219,103.6
1993,Minnesota Timberwolves,0.535,0.503,0.269,103.6
1993,Dallas Mavericks,0.495,0.519,0.347,99.5
1994,Seattle SuperSonics*,0.547,0.479,0.272,111.1
1994,New York Knicks*,0.527,0.451,0.261,105.7
1994,San Antonio Spurs*,0.537,0.467,0.196,110.4
1994,Atlanta Hawks*,0.523,0.475,0.185,107.2
1994,Phoenix Suns*,0.548,0.493,0.202,111.7
1994,Utah Jazz*,0.537,0.469,0.267,108.6
1994,Houston Rockets*,0.545,0.458,0.192,105.9
1994,Cleveland Cavaliers*,0.537,0.484,0.215,109.4
1994,Orlando Magic*,0.547,0.479,0.214,110.8
1994,Indiana Pacers*,0.547,0.471,0.267,107.8
1994,Chicago Bulls*,0.526,0.482,0.225,106.1
1994,Miami Heat*,0.538,0.479,0.284,109.5
1994,Portland Trail Blazers*,0.518,0.49,0.235,108.1
1994,New Jersey Nets*,0.515,0.475,0.212,107.2
1994,Golden State Warriors*,0.542,0.488,0.21,108.3
1994,Denver Nuggets*,0.524,0.453,0.252,103.9
1994,Charlotte Hornets,0.543,0.492,0.205,108.4
1994,Boston Celtics,0.521,0.494,0.238,104.2
1994,Los Angeles Lakers,0.503,0.492,0.24,104.8
1994,Los Angeles Clippers,0.521,0.494,0.213,102.9
1994,Sacramento Kings,0.516,0.499,0.252,103.3
1994,Milwaukee Bucks,0.512,0.513,0.254,102.5
1994,Minnesota Timberwolves,0.525,0.488,0.259,101.9
1994,Washington Bullets,0.529,0.526,0.206,104.5
1994,Philadelphia 76ers,0.518,0.502,0.177,101.7
1994,Detroit Pistons,0.511,0.493,0.262,102.7
1994,Dallas Mavericks,0.492,0.513,0.283,100.4
1995,Utah Jazz*,0.587,0.496,0.292,114.3
1995,Seattle SuperSonics*,0.575,0.492,0.278,114.8
1995,Orlando Magic*,0.569,0.49,0.22,115.1
1995,San Antonio Spurs*,0.562,0.485,0.214,111.7
1995,Chicago Bulls*,0.546,0.488,0.263,109.5
1995,Phoenix Suns*,0.567,0.515,0.228,114.5
1995,Portland Trail Blazers*,0.521,0.491,0.277,109.7
1995,Indiana Pacers*,0.557,0.493,0.237,109.6
1995,Charlotte Hornets*,0.562,0.485,0.202,109.6
1995,New York Knicks*,0.55,0.468,0.281,107.2
1995,Houston Rockets*,0.568,0.489,0.199,109.7
1995,Atlanta Hawks*,0.525,0.495,0.215,106.6
1995,Denver Nuggets*,0.556,0.487,0.257,109.1
1995,Cleveland Cavaliers*,0.52,0.493,0.224,105.3
1995,Los Angeles Lakers*,0.539,0.5,0.224,109.1
1995,Sacramento Kings,0.538,0.481,0.28,105.5
1995,Miami Heat,0.54,0.51,0.264,108.2
1995,Boston Celtics*,0.537,0.512,0.235,108.6
1995,Dallas Mavericks,0.509,0.519,0.208,107.6
1995,New Jersey Nets,0.519,0.493,0.217,105.2
1995,Milwaukee Bucks,0.537,0.53,0.23,106.2
1995,Golden State Warriors,0.547,0.522,0.216,106.7
1995,Philadelphia 76ers,0.521,0.5,0.235,104.1
1995,Washington Bullets,0.529,0.512,0.262,105.4
1995,Detroit Pistons,0.538,0.51,0.299,105.1
1995,Los Angeles Clippers,0.508,0.526,0.29,101.5
1995,Minnesota Timberwolves,0.532,0.51,0.28,102.6
1996,Chicago Bulls*,0.555,0.482,0.222,115.2
1996,Seattle SuperSonics*,0.574,0.479,0.252,110.3
1996,Utah Jazz*,0.566,0.489,0.295,113.3
1996,San Antonio Spurs*,0.558,0.472,0.216,110.2
1996,Orlando Magic*,0.562,0.491,0.223,112.9
1996,Los Angeles Lakers*,0.555,0.491,0.205,111.4
1996,Indiana Pacers*,0.56,0.491,0.271,110.8
1996,Cleveland Cavaliers*,0.551,0.506,0.242,109.9
1996,Detroit Pistons*,0.551,0.483,0.229,107.9
1996,Portland Trail Blazers*,0.528,0.478,0.236,106.0
1996,New York Knicks*,0.55,0.476,0.251,106.0
1996,Houston Rockets*,0.555,0.495,0.206,109.3
1996,Miami Heat*,0.541,0.469,0.298,105.3
1996,Atlanta Hawks*,0.534,0.512,0.217,109.4
1996,Washington Bullets,0.558,0.489,0.274,108.7
1996,Phoenix Suns*,0.551,0.511,0.225,110.3
1996,Charlotte Hornets,0.558,0.529,0.217,111.2
1996,Golden State Warriors,0.539,0.51,0.232,108.4
1996,Denver Nuggets,0.526,0.492,0.237,105.2
1996,Sacramento Kings*,0.54,0.498,0.302,106.2
1996,Boston Celtics,0.534,0.511,0.258,106.4
1996,Los Angeles Clippers,0.544,0.512,0.282,106.5
1996,New Jersey Nets,0.497,0.495,0.223,101.9
1996,Dallas Mavericks,0.507,0.526,0.222,106.1
1996,Minnesota Timberwolves,0.535,0.509,0.267,104.1
1996,Milwaukee Bucks,0.534,0.52,0.248,105.6
1996,Toronto Raptors,0.536,0.514,0.272,103.8
1996,Philadelphia 76ers,0.522,0.522,0.217,102.2
1996,Vancouver Grizzlies,0.5,0.51,0.241,97.6
1997,Chicago Bulls*,0.547,0.471,0.196,114.4
1997,Utah Jazz*,0.581,0.48,0.29,113.6
1997,Seattle SuperSonics*,0.557,0.49,0.242,111.2
1997,Atlanta Hawks*,0.542,0.472,0.191,108.5
1997,Miami Heat*,0.546,0.465,0.248,106.8
1997,Detroit Pistons*,0.554,0.487,0.197,110.6
1997,Houston Rockets*,0.56,0.481,0.19,108.8
1997,Los Angeles Lakers*,0.535,0.478,0.231,108.3
